ref,PTT,D_DATE,NSATS_DETECTED,NSATS_TRANSMITTED,CNT,LAT,LON,RESIDUAL,TIMESHIFT,SUBMITTED,NSATS_HEALTHY,NBITS,DELETED,V_MASK,KM_FROM_HOME,EST_SPEED
ob02-721-11,96721,8/6/2011,9,8,1,-20.81300926,-70.21514893,6.900000095,-34.90000153,8/18/2011,8,15,,0,8.947,0.23
ob02-721-11,96721,8/6/2011,8,8,1,-20.81296921,-70.21508026,4,-34.90000153,8/18/2011,8,15,,0,8.954,0.08
ob02-721-11,96721,8/7/2011,7,7,1,-20.80912971,-70.23796082,6.199999809,-34.90000153,8/18/2011,7,15,,0,6.535,0.14
ob02-721-11,96721,8/7/2011,10,8,2,-20.86828995,-70.23863983,7.5,-34.5,8/18/2011,8,15,,0,9.927,0.18
ob02-721-11,96721,8/8/2011,8,8,1,-20.93324089,-70.18454742,8.600000381,-5,8/18/2011,8,15,,0,19.084,0.27
ob02-721-11,96721,8/8/2011,8,8,1,-20.98362923,-70.20678711,5.099999905,-5,8/18/2011,8,15,,0,22.623,0.31
ob02-721-11,96721,8/8/2011,9,8,1,-20.99106026,-70.20558929,3.5,-5.099999905,8/18/2011,8,15,,0,23.425,0.31
ob02-721-11,96721,8/8/2011,8,8,1,-21.00934982,-70.21221924,5.099999905,-4.5,8/18/2011,8,15,,0,25.028,0.28
ob02-721-11,96721,8/8/2011,9,8,1,-21.01469994,-70.20861816,3.099999905,-5.099999905,8/18/2011,8,15,,0,25.72,0.3
ob02-721-11,96721,8/8/2011,10,8,2,-21.02038002,-70.20310211,4.400000095,-5.099999905,8/18/2011,8,15,,0,26.521,0.26
ob02-721-11,96721,8/9/2011,7,7,1,-21.06963921,-70.22939301,1,-5.099999905,8/18/2011,7,15,,0,30.9,0.37
ob02-721-11,96721,8/9/2011,9,8,1,-21.09354019,-70.2354126,4.5,-5.099999905,8/18/2011,8,15,,0,33.359,0.61
ob02-721-11,96721,8/9/2011,8,8,1,-21.13512993,-70.24836731,7.199999809,-4.599999905,8/18/2011,8,15,,0,37.69,0.77
ob02-721-11,96721,8/9/2011,6,6,1,-18.06308937,-69.17520142,35163.89844,-2.799999952,8/18/2011,6,15,,20,,
ob02-721-11,96721,8/9/2011,9,8,1,-21.19366074,-70.25874329,5.699999809,-5.099999905,8/18/2011,8,15,,0,44.031,0.55
ob02-721-11,96721,8/9/2011,10,8,1,-20.79999924,-70.30000305,100000000,0,8/18/2011,7,15,,20,,
ob02-721-11,96721,8/9/2011,7,7,1,-21.19053078,-70.13477325,5.199999809,-5.199999809,8/18/2011,7,15,,0,46.741,0.35
ob02-721-11,96721,8/10/2011,7,7,1,-21.1693306,-70.13337708,4.199999809,-5.199999809,8/18/2011,7,15,,0,44.611,0.38
ob02-721-11,96721,8/10/2011,5,5,1,-21.17008018,-70.12696075,14.19999981,-5.099999905,8/18/2011,5,15,,0,44.951,0.18
ob02-721-11,96721,8/10/2011,7,7,1,-21.17067909,-70.11997223,6.900000095,-5.199999809,8/18/2011,7,15,,0,45.307,0.1
ob02-721-11,96721,8/10/2011,10,8,1,-21.17292023,-70.12065125,3.5,-5.199999809,8/18/2011,8,15,,0,45.506,0.15
ob02-721-11,96721,8/11/2011,7,7,1,-21.10022926,-70.23658752,5.199999809,-5.300000191,8/22/2011,7,15,,0,34.065,0.4
ob02-721-11,96721,8/11/2011,10,8,1,-21.1134491,-70.26122284,4.800000191,-4.800000191,8/22/2011,8,15,,0,35.124,0.49
ob02-721-11,96721,8/11/2011,9,8,2,-21.12133026,-70.26477814,4.699999809,-5.300000191,8/22/2011,8,15,,0,35.957,0.25
ob02-721-11,96721,8/11/2011,7,7,1,-21.12331009,-70.26318359,5.699999809,-5.300000191,8/22/2011,7,15,,0,36.193,0.31
ob02-721-11,96721,8/11/2011,9,8,1,-21.13151932,-70.27146149,4.800000191,-5.300000191,8/22/2011,8,15,,0,37.023,0.38
